pnum,dob,caption,ethnicity,weight,height,is_veg,drink
965,05/05/76,hi girls,1,70308,178,1,1
967,25/02/81,Shy Guy looking for fun,8,77112,178,1,1
968,03/02/76,Looking for Fun,1,70308,183,1,1
969,01/01/71,rob,1,81648,173,1,1
970,26/04/53,"\The best is yet to dejavu\""..........""",1,63504,173,1,0
971,29/03/63,an adventure for u ?,8,47628,178,1,1
972,02/11/74,A tiger i want to tame....,7,49896,173,0,1
973,15/08/76,Attached male in Toronto looking for discreet encounters,1,99792,193,1,1
974,22/04/62,I'll take care of business,1,56700,163,1,0
975,24/06/68,seeking a fun time from U,1,56700,168,1,1
976,08/10/68,seductively yours,1,61236,168,1,1
977,27/05/67,Your Fantasy or mine?,5,54432,163,1,0
978,24/07/63,tell me something good,4,63504,165,1,1
979,28/04/59,I can fulfill all your fantasies,1,56700,165,1,0
980,22/04/59,if you are smart& swimy show yourself,1,63504,173,1,0
981,09/06/70,intrigue me darling,1,63504,168,1,1
982,22/03/67,whats love got to do with it,1,61236,168,0,0
983,17/03/65,waiting 4 U,1,61236,165,0,0
984,19/08/71,helloooooooooooooooo,3,61236,165,1,0
985,09/03/69,"all men on deck, this boat, needs some handling",4,72576,178,0,0
986,22/03/67,sensual to the touch,1,65772,168,1,1
987,20/08/61,Professional writer in search of muse...,3,56700,165,0,0
988,26/11/76,"call me tonight for  a romantic, erotic encounter......",3,54432,163,0,0
989,15/05/65,looking around for ???????,1,52164,163,1,0
990,29/07/68,looking for an older studd,1,65772,173,1,0
991,09/08/63,need some x-tra loving,1,70308,173,1,1
992,02/02/58,Hello- like to get to know you,1,63504,173,1,1
993,16/08/72,needs some extra loving,6,61236,168,1,1
994,03/02/71,hmmmmmmmm.............,4,56700,165,1,1
995,27/01/67,"it's so chewy and wet,just love raw fish........",6,45360,165,0,1
996,22/05/68,turn up the heat,2,63504,165,1,0
997,27/04/59,as i slide down your shaft...waiting to explode...,2,65772,178,0,1
998,19/08/64,Mr. RIGHT NOW WHERE ARE YOU??,1,56700,163,0,1
999,27/03/62,sick of the old routine,5,58968,163,1,0
1000,06/11/72,"yesterday = history, tomorrow = mystery, today = ???????????",1,47628,163,1,1
1001,28/03/75,"are u daring to dwell into the unknown,and face consequences....",1,47628,173,0,0
1002,05/10/58,swim with the current,1,63504,168,1,1
1003,25/09/76,just can't get enough!,3,52164,163,1,1
1004,20/05/75,Have you ever had a bilnd date?,8,79380,183,1,0
1005,18/07/67,on the prowl,1,58968,173,0,1
1006,23/05/61,Are you ready To give me what I WANT?,1,58968,168,1,1
1007,22/01/64,"me, you, and ..........",1,58968,168,1,0
1008,19/01/74,something new for 2002,1,58968,173,0,1
1009,29/07/75,looking for adventure,1,81648,178,0,1
1010,12/06/65,wanna to pet me?,1,54432,157,1,1
1011,06/12/69,not afraid to live for today,8,52164,168,1,1
1012,08/02/61,rascal,1,92988,183,1,0
1013,06/11/63,sensual/casual/swimual/fun,1,56700,165,1,1
1014,03/10/63,Creatively Compliant,1,63504,173,1,1
1016,16/12/64,Easy going man,1,74844,168,1,1
1017,21/02/71,Very hot male looking for discret sensual fun,1,106596,193,1,1
1018,04/04/67,a,1,77112,173,0,1
1019,29/07/75,i want you,1,81648,178,0,1
1020,20/06/61,Hi I am Fun I am Descreet I am Safe,8,77112,178,1,0
1021,09/04/77,for ladies only,4,77112,173,1,1
1022,01/07/56,CEO WHO TRAVELS FIRST CLASS...,1,72576,178,1,1
1023,23/01/66,Lets respect eachother and have a blast!!!,1,95256,188,1,1
1024,14/04/62,lots of energy,1,74844,165,1,1
1025,06/01/75,loves to tease,1,102060,178,0,0
1026,01/05/71,Get it while it's hot.,1,79380,183,1,0
1027,01/05/74,"The hotter, the better!",1,52164,165,1,1
1028,01/05/74,Give me fever!,1,49896,165,1,0
1029,21/12/55,Lady in Lace,1,45360,163,1,1
1030,13/09/63,afternoon delight,1,86184,183,1,0
1031,13/07/67,seeking mature openmnded ladies,1,77112,173,0,0
1032,02/07/68,Friends and lovers,1,81648,173,1,1
1033,17/10/74,Hola! How are we today.,4,90720,183,1,1
1034,04/01/69,talented hands,1,65772,178,1,0
1035,08/07/62,no   HEAD GAMES  HERE,1,83916,173,1,1
1036,08/12/67,Looking for Fun,1,68040,178,1,1
1037,26/09/79,dejavu fly with me...into the unknown....,1,47628,165,1,0
1038,11/06/65,my aim to please and be pleased,1,65772,168,1,1
1039,05/09/69,"fun, fun, fun",6,63504,165,1,1
1040,18/05/73,lets make the experience one to remember,1,61236,168,1,1
1041,26/08/57,* sensual * warm * sincere * exciting *,1,63504,168,1,1
1042,27/06/68,can you tame me?,1,63504,173,1,0
1043,27/10/77,waiting to be swept off my feet........,5,52164,173,1,0
1044,22/01/70,wanna try something new,4,61236,165,1,0
1045,23/01/71,looking for fun and romance,1,45360,163,1,1
1046,12/04/69,young and restless,8,61236,168,1,1
1047,30/10/59,lost... can you help me find my way,8,61236,168,1,1
1048,23/04/69,love to feel a man's tongue run down my......,2,74844,183,0,0
1049,05/12/64,attached but allowed to play,1,65772,168,1,1
1050,28/07/56,weakness for younger men,1,70308,168,1,0
1051,03/05/61,what catches your eye??,2,58968,165,1,1
1052,23/07/71,looking for a sugar daddy,1,61236,168,1,1
1053,30/07/60,do u love a warm bath and lots of bubbles?,9,56700,163,1,0
1054,11/06/68,need a man who can handle my rough side...,7,52164,173,0,1
1055,06/11/66,Free your mind first,1,63504,173,1,1
1056,08/06/65,"adventurous, openminded playmate sought",1,47628,163,1,1
1057,20/01/74,"\Is there something that stands out in this picture?""",1,58968,165,1,1
1058,28/07/63,let me run my lips all over your body..,1,58968,173,0,0
1059,17/05/81,if your looking?  i have a job openning for u..must be good with,4,40824,165,0,1
1060,27/06/75,packed with perfection.........,6,61236,183,1,1
1061,24/06/55,a women your mother warned u about...,8,72576,178,0,1
